 Code, Item,Brand,Exp.,MRP ,,Discount Price,Discount Percent,Barcode,Manufactureer,Small Image,Large Image,Short Description,Long Description
I14462,PATANJALI GUAVA JUICE 65ML,Patanjali,Feb-19,5,,,,8904109463419,,,,,
I01332,PATANJALI GULABJAL 120ML,Patanjali,Oct-17,30,,,,8904049101754,,,,,
I11798,PATANJALI GULAB SARBATTA 650 ML,Patanjali,Nov-17,100,,,,8904109440106,,,,,
I01336,PATANJALI GULKAND 400GM,Patanjali,Nov-19,55,,,,8904049110466,,,,,
I14470,PATANJALI HAIR CONDITI COLOUR PROTECTION,Patanjali,Oct-18,60,,,,8904109450716,,,,,
I14470,PATANJALI HAIR CONDITI COLOUR PROTECTION,Patanjali,Sep-18,60,,,,8904109450716,,,,,
I14824,PATANJALI HAIR CONDITIONER ALMOND 100GM,Patanjali,Dec-18,60,,,,8904109451706,,,,,
I14824,PATANJALI HAIR CONDITIONER ALMOND 100GM,Patanjali,Nov-18,60,,,,8904109451706,,,,,
II8884,PATANJALI HAIR CONDITIONER DAMAGE CONT,Patanjali,Oct-18,60,,,,8904109450709,,,,,
II8883,PATANJALI HAIR CONDITIONER PROTEIN,Patanjali,Nov-18,60,,,,8904109450723,,,,,
I14152,PATANJALI HALDI CHANDAN SOAP 150GM,Patanjali,Nov-17,25,,,,8904109451911,,,,,
II8870,PATANJALI HERBAL KAJAL 3GM,Patanjali,Oct-18,90,,,,8904109450655,,,,,
II8880,PATANJALI HERBAL LEMON  & ALO FACE  FOAM,Patanjali,Oct-18,60,,,,8904109451089,,,,,
I04163,PATANJALI HERBAL MEHANDI 100GM,Patanjali,Dec-22,35,,,,8904109465598,,,,,
I18624,PATANJALI HERBAL POWERVITA 200GM,Patanjali,Dec-18,80,,,,8904109471032,,,,,
II8866,PATANJALI HERBAL SHAVE GEL 50GM,Patanjali,Jul-18,40,,,,8904109450617,,,,,
I14823,PATANJALI HERBAL SUHAG TEEKA,Patanjali,Jun-18,75,,,,8904109450631,,,,,
II8869,PATANJALI HONEY 1KG,Patanjali,Dec-19,260,,,,8904109460227,,,,,
II8869,PATANJALI HONEY 1KG,Patanjali,Jan-18,260,,,,8904109449239,,,,,
I15140,PATANJALI HONEY ORANGE FACE WASH,Patanjali,Sep-18,45,,,,8904109450983,,,,,
II8872,PATANJALI JAMUN VINEGAR 500ML,Patanjali,Jul-17,65,,,,8904109467738,,,,,
I14085,PATANJALI JEERA BITES 65GM BUSCUIT,Patanjali,Jun-17,10,,,,8902351222365,,,,,
I14085,PATANJALI JEERA BITES 65GM BUSCUIT,Patanjali,May-17,10,,,,8902351222365,,,,,
I14820,PATANJALI JHATPAT ATTA NOODLES 60GM,Patanjali,Dec-19,10,,,,8904109409967,,,,,
I14820,PATANJALI JHATPAT ATTA NOODLES 70GM,Patanjali,Dec-22,15,,,,8904109409981,,,,,
II8896,PATANJALI JUNIOR BRUSH,Patanjali,Dec-26,15,,,,8904109401190,,,,,
I15801,PATANJALI KABULI CHANA 1KG,Patanjali,Dec-19,162,,,,8904109474118,,,,,
I15801,PATANJALI KABULI CHANA 1KG,Patanjali,May-17,162,,,,8904109474118,,,,,
I16717,PATANJALI KABULI CHANA 500GM,Patanjali,May-17,84,,,,8904109474026,,,,,
I16717,PATANJALI KABULI CHANA 500GM,Patanjali,Dec-19,74,,,,8904109474026,,,,,
I15799,PATANJALI KALA CHANA 1KG,Patanjali,Feb-17,134,,,,8904109474194,,,,,
141310,PATANJALI KALA CHANNA 500GM,Patanjali,May-17,68,,,,8904109474200,,,,,
II9592,PATANJALI KALI MIRCH PAPAD,Patanjali,Dec-19,50,,,,8904109443084,,,,,
I05672,PATANJALI KANTI ALOEVERA SOAP 75GM,Patanjali,Sep-18,13,,,,8904109450136,,,,,
I05671,PATANJALI KANTI NEEM SOAP 75GM,Patanjali,Dec-18,15,,,,8904109450082,,,,,
I07465,PATANJALI KANTI ROSE SOAP 75GM,Patanjali,Jul-18,19,,,,8904109450273,,,,,
I14098,PATANJALI KESAR 1GM,Patanjali,Dec-22,285,,,,8904109420313,,,,,
I14434,PATANJALI KESH KANTHI ALOEVERA SHAMPOO,Patanjali,Sep-18,75,,,,8904109450013,,,,,
I15408,PATANJALI KESH KANTHI OIL 300ML,Patanjali,Jul-18,250,,,,8904109463082,,,,,
II8887,PATANJALI KESH KANTHI TAIL 120ML,Patanjali,Jan-19,130,,,,8904109463099,,,,,
II8887,PATANJALI KESH KANTHI TAIL 120ML,Patanjali,Sep-19,130,,,,8904109463099,,,,,
II8887,PATANJALI KESH KANTHI TAIL 120ML,Patanjali,Sep-18,130,,,,8904109463099,,,,,
I07463,PATANJALI KESH KANTI  ANTI DANDRUF SHAMPOO,Patanjali,Sep-18,110,,,,8904109450600,,,,,
I17098,PATANJALI KESH KANTI ANTI DANDRUFF SHAMP,Patanjali,Dec-18,3,,,,8904109451300,,,,,
I17098,PATANJALI KESH KANTI ANTI DANDRUFF SHAMP,Patanjali,Dec-19,2,,,,8904109450297,,,,,
I23456,PATANJALI KESH KANTI ANTI MILK PROTIN,Patanjali,Dec-19,3,,,,8904109450389,,,,,
I17099,PATANJALI KESH KANTI MILK PROTIEN SHAMPO,Patanjali,Oct-18,95,,,,8904109450365,,,,,
I14091,PATANJALI KESH KANTI MILK PROTIEN SHAMPO,Patanjali,Nov-18,95,,,,8904109450365,,,,,
I01351,PATANJALI KESH KANTI NATURAL  SHAMPOO,Patanjali,Sep-18,75,,,,8904109450020,,,,,
I01351,PATANJALI KESH KANTI NATURAL  SHAMPOO,Patanjali,Nov-18,75,,,,8904109450020,,,,,
I07466,PATANJALI KESH KANTI REETHA SHAMPOO,Patanjali,May-18,85,,,,8904109450495,,,,,
I07466,PATANJALI KESH KANTI REETHA SHAMPOO,Patanjali,Jun-18,85,,,,8904109450495,,,,,
III466,PATANJALI KESH KANTI SHIKAKAI SHAMPOO,Patanjali,Oct-18,95,,,,8904109463198,,,,,
III466,PATANJALI KESH KANTI SHIKAKAI SHAMPOO,Patanjali,Oct-18,95,,,,8904109463198,,,,,
II8882,PATANJALI KHATTI MEETHI CHUTNEY,Patanjali,Jun-17,55,,,,8904109465925,,,,,
I01348,PATANJALI KHUS SHARBAT 750ML,Patanjali,May-17,100,,,,8904109440113,,,,,
72985,PATANJALI LAUKI AMLA JUICE 1ML,Patanjali,Jul-17,90,,,,8904109460135,,,,,
72985,PATANJALI LAUKI AMLA JUICE 1ML,Patanjali,Dec-19,90,,,,8904109460135,,,,,
II8878,PATANJALI LEMON BODY CLEANSER,Patanjali,Nov-18,45,,,,8904109420481,,,,,
II8878,PATANJALI LEMON BODY CLEANSER,Patanjali,Jul-18,45,,,,8904109420481,,,,,
FIA005,PATANJALI LEMON HONEY FACE WASH 60GM,Patanjali,Dec-18,45,,,,8904109450440,,,,,
FIA005,PATANJALI LEMON HONEY FACE WASH 60GM,Patanjali,Sep-18,45,,,,8904109450983,,,,,
II8885,PATANJALI LEMON HONEY KANTI SOAP,Patanjali,Jan-19,19,,,,8904109450259,,,,,
II8885,PATANJALI LEMON HONEY KANTI SOAP,Patanjali,Aug-18,19,,,,8904109450259,,,,,
I14145,PATANJALI LEMON SQUASH 750ML,Patanjali,Dec-19,75,,,,8904109445040,,,,,
I14145,PATANJALI LEMON SQUASH 750ML,Patanjali,Jun-17,75,,,,8904109445040,,,,,
I14104,PATANJALI LIP BALM,Patanjali,Jan-19,25,,,,8904109451126,,,,,
I14463,PATANJALI LITCHI JUICE 65ML,Patanjali,Dec-19,5,,,,8904109463426,,,,,
II8875,PATANJALI LITCHI PURE HONEY 500GM,Patanjali,Dec-22,155,,,,8904109440083,,,,,
137221,PATANJALI MALKA MASUR DAL 500GM,Patanjali,May-17,54,,,,8904109474095,,,,,
I14089,PATANJALI MANGO JUICE 1LTR,Patanjali,Apr-17,85,,,,8904109465048,,,,,
I15789,PATANJALI MANGO PANNA 650 ML,Patanjali,May-17,80,,,,8904109440182,,,,,
I14089,PATANJALI MANGO JUICE 1LTR,Patanjali,Jan-17,50,,,,8904109471209,,,,,
I06116,PATANJALI MARIE BISCUITS 120GM,Patanjali,Dec-19,12,,,,8902351222242,,,,,
I14084,PATANJALI MARIE BISCUITS 300GM,Patanjali,Jun-17,30,,,,8902351222266,,,,,
I18205,PATANJALI MASALA OATS,Patanjali,Dec-18,15,,,,8904109470950,,,,,
I15725,PATANJALI MASALA OATS 200GM,Patanjali,Oct-17,59,,,,8904109470998,,,,,
I15725,PATANJALI MASALA OATS 200GM,Patanjali,Dec-19,59,,,,8904109470998,,,,,
I18124,PATANJALI MASALA OATS 400GM,Patanjali,Oct-17,110,,,,8904109471018,,,,,
I18559,PATANJALI METHI ATTA  1KG,Patanjali,Jun-17,90,,,,8904109449338,,,,,
I18994,PATANJALI WHOLE WHEAT ATTA  2KG,Patanjali,Jul-17,80,,,,8904109449277,,,,,
I19429,PATANJALI WHOLE WHEAT ATTA  5KG,Patanjali,Aug-17,180,,,,8904109470240,,,,,
I19864,PATANJALI WHOLE WHEAT ATTA  10 KG,Patanjali,Sep-17,330,,,,8904109470257,,,,,
I01378,PATANJALI MINT TULSI SOAP,Patanjali,Apr-18,24,,,,8904109450204,,,,,
I01378,PATANJALI MINT TULSI SOAP,Patanjali,Apr-18,24,,,,8904109450204,,,,,
I16572,PATANJALI MISSI ATTA 1KG,Patanjali,Jun-17,65,,,,8904109449352,,,,,
I16572,PATANJALI SHARBATI ATTA 1KG,Patanjali,Dec-19,45,,,,8904109449314,,,,,
PO0104,PATANJALI MIX DAL 1KG,Patanjali,May-17,130,,,,8904109474170,,,,,
PO191,PATANJALI MIX DAL 500GM,Patanjali,May-17,66,,,,8904109474088,,,,,
PO191,PATANJALI MIX DAL 500GM,Patanjali,Feb-17,66,,,,8904109474088,,,,,
LI318,PATANJALI MIX FRUIT JUICE 1000ML,Patanjali,May-17,85,,,,8904109466489,,,,,
I02673,PATANJALI MIXED FRUIT JAM,Patanjali,Dec-17,70,,,,8904109445019,,,,,
I02673,PATANJALI MIXED FRUIT JAM,Patanjali,Jun-19,70,,,,8904109445019,,,,,
I01384,PATANJALI MOGRA SOAP,Patanjali,Jul-18,25,,,,8904109450211,,,,,
I14100,PATANJALI MOISTURIZER 50GM,Patanjali,Jan-19,75,,,,8904109451324,,,,,
I14100,PATANJALI MOISTURIZER 50GM,Patanjali,Oct-18,75,,,,8904109451324,,,,,
