 Code, Item,Brand,Exp.,MRP ,,Discount Price,Discount Percent,Barcode,Manufactureer,Small Image,Large Image,Short Description,Long Description
I17862,PATANJALI DIVYA COUGH DROPS ORANGE JAR,Patanjali,10-18,1.000,,,,8904049102140    ,8904049102140    ,,,,
I14086,PATANJALI DOODH BISCUIT 100GM,Patanjali,07-17,10.000,,,,8902351222389    ,8902351222389    ,,,,
I16316,PATANJALI DOODH BISCUT,Patanjali,08-17,5.000,,,,8902351222396    ,8902351222396    ,,,,
I01442,PATANJALI DRISHTI EYE DROP,Patanjali,11-17,25.000,,,,8904109470752    ,8904109470752    ,,,,
I18470,PATANJALI DUBAR BASMATI RICE,Patanjali,12-19,355.000,,,,8904109467851    ,8904109467851    ,,,,
II8897,PATANJALI ELAICHI DELITE BISCUIT,Patanjali,08-17,10.000,,,,8902351222303    ,8902351222303    ,,,,
II8897,PATANJALI ELAICHI DELITE BISCUIT,Patanjali,05-18,10.000,,,,8902351222303    ,8902351222303    , ,,,
I14510,PATANJALI ENERGY BAR CHOCO CHIP,Patanjali,07-17,30.000,,,,,,,,,
I16720,PATANJALI ENERGY BAR CHOCO CHIP RS.15,Patanjali,12-19,15.000,,,,,,,,,
I16721,PATANJALI ENERGY BAR ORNAGE FEEL RS.15,Patanjali,12-19,15.000,,,,8904109469886    ,8904109469886    ,,,,
I16722,PATANJALI ENERGY BAR STRAWBERY RS.15,Patanjali,12-19,15.000,,,,8904109469879    ,8904109469879    ,,,,
,PATANJALI BEL MURABBA 1 KG,Patanjali,,110.000,,,,8904109470103    ,8904109470103    ,,,,
,PATANJALI HARAD  MURABBA 1 KG,Patanjali,,150.000,,,,8904109470097    ,8904109470097    ,,,,
,PATANJALI AMLA MURABBA 1 KG,Patanjali,,120.000,,,,8904109445026    ,8904109445026    ,,,,
I05138,PATANJALI GAJAR MURABBA 1 KG,Patanjali,12-19,125.000,,,,8904109465482    ,8904109465482    ,,,,
I14503,PATANJALI GAZAR MURABBA 1KG,Patanjali,12-19,115.000,,,,,,,,,
III463,PATANJALI GILOY AMLA JUICE 500ML,Patanjali,10-19,80.000,,,,,,,,,
I01398,PATANJALI GILOY GHANVATI,Patanjali,12-19,90.000,,,,,,,,,
339112,PATANJALI GONYLE FLOOR CLEANER 1LTR,Patanjali,10-19,50.000,,,,8908004906002    ,8908004906002    ,,,,
339112,PATANJALI GONYLE FLOOR CLEANER 1LTR,Patanjali,10-17,48.000,,,,8908004906002    ,8908004906002    ,,,,
I14608,PATANJALI GUAVA JAM 500GM,Patanjali,04-18,150.000,,,,8904109470356    ,8904109470356    ,,,,
I15963,PATANJALI GUAVA JUICE 1LT,Patanjali,05-17,85.000,,,,,,,,,
I14462,PATANJALI GUAVA JUICE 65ML,Patanjali,02-19,5.000,,,,,,,,,
I01332,PATANJALI GULABJAL 120ML,Patanjali,10-17,30.000,,,,,,,,,
,PATANJALI GULAB SARBATTA 650 ML,Patanjali,,100.000,,,,8904109440106    ,8904109440106    ,,,,
I01336,PATANJALI GULKAND 400GM,Patanjali,11-19,55.000,,,,,,,,,
I14470,PATANJALI HAIR CONDITI COLOUR PROTECTION,Patanjali,10-18,60.000,,,,8904109450716    ,8904109450716    ,,,,
I14470,PATANJALI HAIR CONDITI COLOUR PROTECTION,Patanjali,09-18,60.000,,,,8904109450716    ,8904109450716    ,,,,
I14824,PATANJALI HAIR CONDITIONER ALMOND 100GM,Patanjali,12-18,60.000,,,,8904109451706    ,8904109451706    ,,,,
I14824,PATANJALI HAIR CONDITIONER ALMOND 100GM,Patanjali,11-18,60.000,,,,8904109451706    ,8904109451706    ,,,,
II8884,PATANJALI HAIR CONDITIONER DAMAGE CONT,Patanjali,10-18,60.000,,,,8904109450709    ,8904109450709    ,,,,
II8883,PATANJALI HAIR CONDITIONER PROTEIN,Patanjali,11-18,60.000,,,,,,,,,
I14152,PATANJALI HALDI CHANDAN SOAP 150GM,Patanjali,11-17,25.000,,,,8904109451911    ,8904109451911    ,,,,
II8870,PATANJALI HERBAL KAJAL 3GM,Patanjali,10-18,90.000,,,,,,,,,
II8880,PATANJALI HERBAL LEMON  & ALO FACE  FOAM,Patanjali,10-18,60.000,,,,8904109451089    ,8904109451089    ,,,,
I04163,PATANJALI HERBAL MEHANDI 100GM,Patanjali,12-22,35.000,,,,,,,,,
I18624,PATANJALI HERBAL POWERVITA 200GM,Patanjali,12-18,80.000,,,,8904109471032    ,8904109471032    ,,,,
II8866,PATANJALI HERBAL SHAVE GEL 50GM,Patanjali,07-18,40.000,,,,8904109450617    ,8904109450617    ,,,,
I14823,PATANJALI HERBAL SUHAG TEEKA,Patanjali,06-18,75.000,,,,8904109450631    ,8904109450631    ,,,,
II8869,PATANJALI HONEY 1KG,Patanjali,12-19,260.000,,,,8904109460227    ,8904109460227    ,,,,
II8869,PATANJALI HONEY 1KG,Patanjali,01-18,260.000,,,,8904109449239    ,8904109449239    ,,,,
I15140,PATANJALI HONEY ORANGE FACE WASH,Patanjali,09-18,45.000,,,,,,,,,
II8872,PATANJALI JAMUN VINEGAR 500ML,Patanjali,07-17,65.000,,,,8904109467738    ,8904109467738    ,,,,
I14085,PATANJALI JEERA BITES 65GM BUSCUIT,Patanjali,06-17,10.000,,,,8902351222365    ,8902351222365    ,,,,
I14085,PATANJALI JEERA BITES 65GM BUSCUIT,Patanjali,05-17,10.000,,,,8902351222365    ,8902351222365    ,,,,
I14820,PATANJALI JHATPAT ATTA NOODLES 60GM,Patanjali,12-19,10.000,,,,8904109409967    ,8904109409967    ,,,,
I14820,PATANJALI JHATPAT ATTA NOODLES 70GM,Patanjali,12-22,15.000,,,,8904109409981    ,8904109409981    ,,,,
II8896,PATANJALI JUNIOR BRUSH,Patanjali,12-26,15.000,,,,8904109401190    ,8904109401190    ,,,,
I15801,PATANJALI KABULI CHANA 1KG,Patanjali,12-19,162.000,,,,8904109474118    ,8904109474118    ,,,,
